序號,店內 SKU,產品名稱,品牌,分類,供應商 SKU,Stripe Product ID,活躍 HKD Price 數,現行 HKD 售價／Price ID／規格,原始匯入來源,原始匯入鍵,現有 Product metadata 欄位數,需先作欄位容量審核,待輸入 CNY 成本（如各變體相同）,成本來源／供應商連結或單據,成本日期,確認目標毛利率（例如 0.45）,入境／運費 HKD（如適用）,備註
77,MH-DOG-DBF-019,d.b.f 牛肉奶酪｜d.b.f Beef & Cheese Dog Can 85g,d.b.f,dogs,DBF-19,prod_V8e2EKKmnHUR8w,1,HK$27.90 · price_1U8VgTRyM6dRKLtZXyxJ7VDz · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-19,34,否,,,,,,
78,MH-DOG-DBF-020,d.b.f 高齡犬之食事 雞肉軟骨 (7歲及以上)｜d.b.f Senior Dog Meal Chicken & Cartilage 85g,d.b.f,dogs,DBF-20,prod_V8e2NVxYYDt7TI,1,HK$27.90 · price_1U8VguRyM6dRKLtZcl3gkGhu · 85g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-20,30,否,,,,,,
79,MH-DOG-DBF-021,d.b.f 雞胸肉糜 (脂肪含量更少 0.5% 以上)｜d.b.f Chicken Breast Mince Low-fat Dog Can 65g,d.b.f,dogs,DBF-21,prod_V8e2HgqFtfTeZ3,1,HK$26.90 · price_1U8VgnRyM6dRKLtZpoXJ8AO1 · 65g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-21,31,否,,,,,,
80,MH-DOG-DBF-022,d.b.f 雞肉&雞胸肉糜蔬菜｜d.b.f Chicken & Chicken Breast Mince with Vegetables 150g,d.b.f,dogs,DBF-22,prod_V8e2yXi5ewIEg5,1,HK$43.90 · price_1U8VgfRyM6dRKLtZ4FJtM5x2 · 150g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-22,31,否,,,,,,
81,MH-DOG-DBF-023,d.b.f 雞肉&雞胸肉糜紅薯｜d.b.f Chicken & Chicken Breast Mince with Sweet Potato 150g,d.b.f,dogs,DBF-23,prod_V8e2NpxQsXvHOA,1,HK$43.90 · price_1U8VgdRyM6dRKLtZrks64yvz · 150g,dbf_dog_cans_23_items(1).xlsx,dbf-dog-cans-2026::dbf-23,31,否,,,,,,
82,MH-DOG-DGM-001,DoggyMan 爆漿夾心卷（雞肝）｜DoggyMan Creamy Chicken Liver Roll Treats,DoggyMan,dogs,,prod_V8cru9Bp0V6puG,1,HK$45.90 · price_1U8VgDRyM6dRKLtZ24NTG3uj · 30g,MofuHaven_Order_For_Boss.md,snack-order-2026::doggyman-creamy-chicken-liver-roll-treats,27,否,,,,,,
83,MH-DOG-DGM-002,DoggyMan 爆漿夾心卷（雞肉）｜DoggyMan Creamy Chicken Roll Treats,DoggyMan,dogs,,prod_V8cr46ftMdO2E3,1,HK$45.90 · price_1U8VgBRyM6dRKLtZv2Xk9e47 · 30g,MofuHaven_Order_For_Boss.md,snack-order-2026::doggyman-creamy-chicken-roll-treats,50,是,,,,,,
84,MH-DOG-IRIS-001,牛肉口味罐頭（Beef）,ONE CARE,dogs,,prod_V8Zo9dzijaQ39p,3,HK$45.90 · price_1U8VhFRyM6dRKLtZwbD6Db3k · 5罐裝 | HK$98.90 · price_1U8VhHRyM6dRKLtZz2uFya7W · 15罐裝 | HK$188.90 · price_1U8VhIRyM6dRKLtZM1d1iDY5 · 30罐裝,MofuHaven_7_Flavors_Tiered_Pricing.csv,onecared-can::beef,28,否,,,,,,
85,MH-DOG-IRIS-002,雞肝口味罐頭（Chicken Liver）,ONE CARE,dogs,,prod_V8ZodBXbffvz6o,3,HK$45.90 · price_1U8VhdRyM6dRKLtZcp5X8ifb · 5罐裝 | HK$98.90 · price_1U8VheRyM6dRKLtZFEetoprF · 15罐裝 | HK$188.90 · price_1U8VhgRyM6dRKLtZXSGwxJUo · 30罐裝,MofuHaven_7_Flavors_Tiered_Pricing.csv,onecared-can::chicken-liver,28,否,,,,,,
86,MH-DOG-IRIS-003,雞肉口味罐頭（Chicken）,ONE CARE,dogs,,prod_V8ZpDXl9RWMDbc,3,HK$45.90 · price_1U8VhYRyM6dRKLtZGsnu90Cl · 5罐裝 | HK$98.90 · price_1U8VhaRyM6dRKLtZDuPhfSTS · 15罐裝 | HK$188.90 · price_1U8VhbRyM6dRKLtZwAu2ieZo · 30罐裝,MofuHaven_7_Flavors_Tiered_Pricing.csv,onecared-can::chicken,28,否,,,,,,
87,MH-DOG-IRIS-004,新款 2個口味拼罐頭（New 2-Flavor Mix）,ONE CARE,dogs,,prod_V8ZoNtJinLFNNG,3,HK$45.90 · price_1U8Vh1RyM6dRKLtZ2pb9imkA · 5罐裝 | HK$108.90 · price_1U8Vh2RyM6dRKLtZ0lZlFrKf · 15罐裝 | HK$198.90 · price_1U8Vh4RyM6dRKLtZAatzUjjE · 30罐裝,MofuHaven_7_Flavors_Tiered_Pricing.csv,onecared-can::new-2-flavor-mix,28,否,,,,,,
88,MH-DOG-IRIS-005,新款牛肉米飯罐頭（New Beef & Rice）,ONE CARE,dogs,,prod_V8ZoJ2fwrBOiHL,3,HK$45.90 · price_1U8Vh5RyM6dRKLtZbYoXHN33 · 5罐裝 | HK$98.90 · price_1U8Vh7RyM6dRKLtZJXZ94rLD · 15罐裝 | HK$188.90 · price_1U8Vh8RyM6dRKLtZHSPJQw7B · 30罐裝,MofuHaven_7_Flavors_Tiered_Pricing.csv,onecared-can::new-beef-and-rice,28,否,,,,,,
89,MH-DOG-IRIS-006,新款牛肉蔬菜罐頭（New Beef & Vegetables）,ONE CARE,dogs,,prod_V8ZorEO6daplRl,3,HK$45.90 · price_1U8VhARyM6dRKLtZCksW5NjG · 5罐裝 | HK$98.90 · price_1U8VhBRyM6dRKLtZULSmUBud · 15罐裝 | HK$188.90 · price_1U8VhCRyM6dRKLtZbmo2rOZf · 30罐裝,MofuHaven_7_Flavors_Tiered_Pricing.csv,onecared-can::new-beef-and-vegetables,28,否,,,,,,
90,MH-DOG-IRIS-007,白身魚口味罐頭（White Fish）,ONE CARE,dogs,,prod_V8ZpWi2bc00Aty,3,HK$45.90 · price_1U8VhKRyM6dRKLtZ1BP6Yc7u · 5罐裝 | HK$98.90 · price_1U8VhLRyM6dRKLtZCwjfhbdt · 15罐裝 | HK$188.90 · price_1U8VhNRyM6dRKLtZyBD2uK6n · 30罐裝,MofuHaven_7_Flavors_Tiered_Pricing.csv,onecared-can::white-fish,28,否,,,,,,
91,MH-DOG-MCK-001,雞里脊 150g (犬用) (現貨 / 2027.11.11),Mamacook,dogs,,prod_V8W0gp0Oink4Cg,1,HK$257.90 · price_1U8VhpRyM6dRKLtZBDNjC1P3 · 單一規格,pet_products_clean_retail_only.csv,雞里脊 150g (犬用) (現貨 / 2027.11.11),41,否,,,,,,
